12052,12052,Old Daley Crooked Lake,Monday,22-Nov,11:00,Cropseyville
12082,12082,Old Daley Crooked Lake,Monday,22-Nov,11:00,Grafton
12138,12138,Old Daley Crooked Lake,Monday,22-Nov,11:00,Petersburg
12140,12140,Old Daley Crooked Lake,Monday,22-Nov,11:00,Poestenkill
12153,12153,Old Daley Crooked Lake,Monday,22-Nov,11:00,Taborton
12168,12168,Old Daley Crooked Lake,Monday,22-Nov,11:00,Stephentown
12169,12169,Old Daley Crooked Lake,Monday,22-Nov,11:00,Stephentown
12196,12196,Old Daley Crooked Lake,Monday,22-Nov,11:00,West Sand Lake
12053,12053,Old Daley Schenectady,Monday,22-Nov,12:00,Delanson
12056,12056,Old Daley Schenectady,Monday,22-Nov,12:00,Duanesburg
12302,12137,Old Daley Schenectady,Monday,22-Nov,12:00,Pattersonville
12307,12302,Old Daley Schenectady,Monday,22-Nov,12:00,Schenectady
12137,12307,Old Daley Schenectady,Monday,22-Nov,12:00,Schenectady
82180,12180,Old Daley Troy,Tuesday,23-Nov,10:00,Taylor
12182,12181,Old Daley Troy,tuesday,23-Nov,10:00,Troy
12198,12182,Old Daley Troy,Tuesday,23-Nov,10:00,Troy
12180,12198,Old Daley Troy,Tuesday,23-Nov,10:00,Wynantskill
12181,12180,Old Daley Troy,Wednesday,24-Nov,9:00,Troy
12033,12033,Pepper Jacks,Monday,22-Nov,10:00,Castleton
12054,12054,Pepper Jacks,Monday,22-Nov,10:00,Delmar
12061,12061,Pepper Jacks,Monday,22-Nov,10:00,E Greenbush
12062,12062,Pepper Jacks,Monday,22-Nov,10:00,E Nassau
12063,12063,Pepper Jacks,Monday,22-Nov,10:00,E Schodack
12077,12077,Pepper Jacks,Monday,22-Nov,10:00,Glenmont
12123,12123,Pepper Jacks,Monday,22-Nov,10:00,Nassau
12144,12144,Pepper Jacks,Tuesday,23-Nov,10:00,Rensselaer
12534,12534,Pepper Jacks,Tuesday,23-Nov,10:00,Hudson 
12110,12110,Saati Catering,Monday,22-Nov,10:00,Latham
12183,12183,Saati Catering,Monday,22-Nov,10:00,Troy/Green Island
